instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
1,1/1/2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13
2,1/1/2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32
3,1/1/2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27
4,1/1/2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10
5,1/1/2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1
6,1/1/2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1
7,1/1/2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0
8,1/1/2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2
9,1/1/2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7
10,1/1/2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6
11,1/1/2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24
12,1/1/2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30
13,1/1/2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55
14,1/1/2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47
15,1/1/2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71
16,1/1/2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70
17,1/1/2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52
18,1/1/2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52
19,1/1/2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26
20,1/1/2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31
21,1/1/2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25
22,1/1/2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31
23,1/1/2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17
24,1/1/2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24
25,1/2/2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13
26,1/2/2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16
27,1/2/2011,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,1,8
28,1/2/2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4
29,1/2/2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1
30,1/2/2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2
31,1/2/2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1
32,1/2/2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8
33,1/2/2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19
34,1/2/2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46
35,1/2/2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54
36,1/2/2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73
37,1/2/2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64
38,1/2/2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55
39,1/2/2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55
40,1/2/2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67
41,1/2/2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58
42,1/2/2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43
43,1/2/2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29
44,1/2/2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17
45,1/2/2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20
46,1/2/2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9
47,1/2/2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8
48,1/3/2011,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5
49,1/3/2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2
50,1/3/2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1
51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3
52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30
53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63
54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153
55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81
56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33
57,1/3/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41
58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48
59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53
60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66
61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58
62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67
63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146
64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148
65,1/3/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,8,102
66,1/3/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49
67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49
68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20
69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11
70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5
71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2
72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1
73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2
74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4
75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36
76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92
77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177
78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98
79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37
80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50
81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66
82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79
83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54
84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48
85,1/4/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68
86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202
